Data_Point,Sample_Num,Time_Stamp,Time_Per,Temp,Gain,Int_Time,Allowable_Dev,Raw_Used_Vio,Raw_Values_Vio_450nm,Raw_Selected_Vio_450nm,Raw_Avg_Vio_450nm,Raw_StdDev_Vio_450nm,Call_Used_Vio,Call_Values_Vio_450nm,Cal_Selected_Vio_450nm,Cal_Avg_Vio_450nm,Cal_StdDev_Vio_450nm,Raw_Used_Blu,Raw_Values_Blu_500nm,Raw_Selected_Blu_500nm,Raw_Avg_Blu_500nm,Raw_StdDev_Blu_500nm,Call_Used_Blu,Call_Values_Blu_500nm,Cal_Selected_Blu_500nm,Cal_Avg_Blu_500nm,Cal_StdDev_Blu_500nm,Raw_Used_Grn,Raw_Values_Grn_550nm,Raw_Selected_Grn_550nm,Raw_Avg_Grn_550nm,Raw_StdDev_Grn_550nm,Call_Used_Grn,Call_Values_Grn_550nm,Cal_Selected_Grn_550nm,Cal_Avg_Grn_550nm,Cal_StdDev_Grn_550nm,Raw_Used_Yel,Raw_Values_Yel_570nm,Raw_Selected_Yel_570nm,Raw_Avg_Yel_570nm,Raw_StdDev_Yel_570nm,Call_Used_Yel,Call_Values_Yel_570nm,Cal_Selected_Yel_570nm,Cal_Avg_Yel_570nm,Cal_StdDev_Yel_570nm,Raw_Used_Org,Raw_Values_Org_600nm,Raw_Selected_Org_600nm,Raw_Avg_Org_600nm,Raw_StdDev_Org_600nm,Call_Used_Org,Call_Values_Org_600nm,Cal_Selected_Org_600nm,Cal_Avg_Org_600nm,Cal_StdDev_Org_600nm,Raw_Used_Red,Raw_Values_Red_650nm,Raw_Selected_Red_650nm,Raw_Avg_Red_650nm,Raw_StdDev_Red_650nm,Call_Used_Red,Call_Values_Red_650nm,Cal_Selected_Red_650nm,Cal_Avg_Red_650nm,Cal_StdDev_Red_650nm
0.0,1.0,2023-03-28 04:16:18.008444,20.19,36.0,64.0,700.0,150.0,"[307, 308, 308, 308, 308, 308]","[307, 308, 308, 308, 308, 308]","[307, 308, 308, 308, 308, 308]",307.83,0.41,"[311.78, 312.8, 312.8, 312.8, 312.8, 312.8]","[311.78, 312.8, 312.8, 312.8, 312.8, 312.8]","[311.78, 312.8, 312.8, 312.8, 312.8, 312.8]",312.63,0.42,"[507, 503, 499, 496, 494, 492]","[507, 503, 499, 496, 494, 492]","[507, 503, 499, 496, 494, 492]",498.5,5.68,"[571.04, 566.54, 562.03, 558.65, 556.4, 554.15]","[571.04, 566.54, 562.03, 558.65, 556.4, 554.15]","[571.04, 566.54, 562.03, 558.65, 556.4, 554.15]",561.47,6.4,"[358, 356, 354, 352, 351, 350]","[358, 356, 354, 352, 351, 350]","[358, 356, 354, 352, 351, 350]",353.5,3.08,"[362.11, 360.08, 358.06, 356.04, 355.03, 354.01]","[362.11, 360.08, 358.06, 356.04, 355.03, 354.01]","[362.11, 360.08, 358.06, 356.04, 355.03, 354.01]",357.56,3.12,"[1158, 1151, 1143, 1139, 1136, 1132]","[1158, 1151, 1143, 1139, 1136, 1132]","[1158, 1151, 1143, 1139, 1136, 1132]",1143.17,9.75,"[993.46, 987.46, 980.59, 977.16, 974.59, 971.16]","[993.46, 987.46, 980.59, 977.16, 974.59, 971.16]","[993.46, 987.46, 980.59, 977.16, 974.59, 971.16]",980.74,8.36,"[527, 524, 521, 519, 517, 515]","[527, 524, 521, 519, 517, 515]","[527, 524, 521, 519, 517, 515]",520.5,4.46,"[479.1, 476.37, 473.65, 471.83, 470.01, 468.19]","[479.1, 476.37, 473.65, 471.83, 470.01, 468.19]","[479.1, 476.37, 473.65, 471.83, 470.01, 468.19]",473.19,4.05,"[1096, 1088, 1078, 1073, 1068, 1063]","[1096, 1088, 1078, 1073, 1068, 1063]","[1096, 1088, 1078, 1073, 1068, 1063]",1077.67,12.44,"[873.12, 866.75, 858.78, 854.8, 850.81, 846.83]","[873.12, 866.75, 858.78, 854.8, 850.81, 846.83]","[873.12, 866.75, 858.78, 854.8, 850.81, 846.83]",858.51,9.91
1.0,1.0,2023-03-28 04:16:37.696652,19.29,37.0,64.0,700.0,150.0,"[267, 267, 267, 267, 267, 267]","[267, 267, 267, 267, 267, 267]","[267, 267, 267, 267, 267, 267]",267.0,0.0,"[286.9, 286.9, 286.9, 286.9, 286.9, 286.9]","[286.9, 286.9, 286.9, 286.9, 286.9, 286.9]","[286.9, 286.9, 286.9, 286.9, 286.9, 286.9]",286.9,0.0,"[453, 451, 448, 446, 445, 443]","[453, 451, 448, 446, 445, 443]","[453, 451, 448, 446, 445, 443]",447.67,3.78,"[581.21, 578.64, 574.79, 572.23, 570.94, 568.38]","[581.21, 578.64, 574.79, 572.23, 570.94, 568.38]","[581.21, 578.64, 574.79, 572.23, 570.94, 568.38]",574.37,4.85,"[699, 695, 692, 689, 687, 685]","[699, 695, 692, 689, 687, 685]","[699, 695, 692, 689, 687, 685]",691.17,5.23,"[730.58, 726.4, 723.26, 720.12, 718.03, 715.94]","[730.58, 726.4, 723.26, 720.12, 718.03, 715.94]","[730.58, 726.4, 723.26, 720.12, 718.03, 715.94]",722.39,5.47,"[1301, 1294, 1288, 1283, 1281, 1277]","[1301, 1294, 1288, 1283, 1281, 1277]","[1301, 1294, 1288, 1283, 1281, 1277]",1287.33,8.91,"[1176.07, 1169.74, 1164.32, 1159.8, 1157.99, 1154.37]","[1176.07, 1169.74, 1164.32, 1159.8, 1157.99, 1154.37]","[1176.07, 1169.74, 1164.32, 1159.8, 1157.99, 1154.37]",1163.71,8.06,"[809, 804, 800, 797, 795, 792]","[809, 804, 800, 797, 795, 792]","[809, 804, 800, 797, 795, 792]",799.5,6.22,"[788.25, 783.38, 779.48, 776.56, 774.61, 771.69]","[788.25, 783.38, 779.48, 776.56, 774.61, 771.69]","[788.25, 783.38, 779.48, 776.56, 774.61, 771.69]",779.0,6.06,"[860, 855, 850, 847, 844, 840]","[860, 855, 850, 847, 844, 840]","[860, 855, 850, 847, 844, 840]",849.33,7.31,"[774.14, 769.64, 765.14, 762.44, 759.74, 756.14]","[774.14, 769.64, 765.14, 762.44, 759.74, 756.14]","[774.14, 769.64, 765.14, 762.44, 759.74, 756.14]",764.54,6.58
2.0,1.0,2023-03-28 04:16:59.014544,20.3,40.0,64.0,700.0,150.0,"[299, 298, 298, 298, 298, 297]","[299, 298, 298, 298, 298, 297]","[299, 298, 298, 298, 298, 297]",298.0,0.63,"[293.24, 292.26, 292.26, 292.26, 292.26, 291.28]","[293.24, 292.26, 292.26, 292.26, 292.26, 291.28]","[293.24, 292.26, 292.26, 292.26, 292.26, 291.28]",292.26,0.62,"[560, 555, 551, 549, 546, 544]","[560, 555, 551, 549, 546, 544]","[560, 555, 551, 549, 546, 544]",550.83,5.91,"[659.22, 653.34, 648.63, 646.27, 642.74, 640.39]","[659.22, 653.34, 648.63, 646.27, 642.74, 640.39]","[659.22, 653.34, 648.63, 646.27, 642.74, 640.39]",648.43,6.96,"[596, 593, 590, 587, 585, 583]","[596, 593, 590, 587, 585, 583]","[596, 593, 590, 587, 585, 583]",589.0,4.94,"[604.1, 601.06, 598.02, 594.98, 592.95, 590.92]","[604.1, 601.06, 598.02, 594.98, 592.95, 590.92]","[604.1, 601.06, 598.02, 594.98, 592.95, 590.92]",597.0,5.01,"[1341, 1334, 1327, 1322, 1318, 1314]","[1341, 1334, 1327, 1322, 1318, 1314]","[1341, 1334, 1327, 1322, 1318, 1314]",1326.0,10.14,"[1168.73, 1162.63, 1156.53, 1152.17, 1148.68, 1145.2]","[1168.73, 1162.63, 1156.53, 1152.17, 1148.68, 1145.2]","[1168.73, 1162.63, 1156.53, 1152.17, 1148.68, 1145.2]",1155.66,8.84,"[692, 687, 684, 682, 679, 676]","[692, 687, 684, 682, 679, 676]","[692, 687, 684, 682, 679, 676]",683.33,5.72,"[663.29, 658.5, 655.62, 653.71, 650.83, 647.95]","[663.29, 658.5, 655.62, 653.71, 650.83, 647.95]","[663.29, 658.5, 655.62, 653.71, 650.83, 647.95]",654.98,5.48,"[1074, 1065, 1057, 1051, 1047, 1041]","[1074, 1065, 1057, 1051, 1047, 1041]","[1074, 1065, 1057, 1051, 1047, 1041]",1055.83,12.14,"[876.01, 868.67, 862.14, 857.25, 853.99, 849.09]","[876.01, 868.67, 862.14, 857.25, 853.99, 849.09]","[876.01, 868.67, 862.14, 857.25, 853.99, 849.09]",861.19,9.9
3.0,1.0,2023-03-28 04:17:21.688339,21.61,40.0,64.0,700.0,150.0,"[246, 246, 246, 246, 246, 246, 246]","[246, 246, 246, 246, 246, 246, 246]","[246, 246, 246, 246, 246, 246, 246]",246.0,0.0,"[262.63, 262.63, 262.63, 262.63, 262.63, 262.63, 262.63]","[262.63, 262.63, 262.63, 262.63, 262.63, 262.63, 262.63]","[262.63, 262.63, 262.63, 262.63, 262.63, 262.63, 262.63]",262.63,0.0,"[434, 434, 434, 434, 434, 433, 433]","[434, 434, 434, 434, 434, 433, 433]","[434, 434, 434, 434, 434, 433, 433]",433.71,0.49,"[546.33, 546.33, 546.33, 546.33, 545.07, 545.07]","[546.33, 546.33, 546.33, 546.33, 545.07, 545.07]","[546.33, 546.33, 546.33, 546.33, 545.07, 545.07]",545.91,0.65,"[628, 628, 628, 628, 628, 628, 627]","[628, 628, 628, 628, 628, 628, 627]","[628, 628, 628, 628, 628, 628, 627]",627.86,0.38,"[652.63, 652.63, 652.63, 652.63, 652.63, 651.59]","[652.63, 652.63, 652.63, 652.63, 652.63, 651.59]","[652.63, 652.63, 652.63, 652.63, 652.63, 651.59]",652.46,0.42,"[1240, 1240, 1240, 1239, 1239, 1239, 1238]","[1240, 1240, 1240, 1239, 1239, 1239, 1238]","[1240, 1240, 1240, 1239, 1239, 1239, 1238]",1239.29,0.76,"[1109.71, 1109.71, 1108.82, 1108.82, 1108.82, 1107.92]","[1109.71, 1109.71, 1108.82, 1108.82, 1108.82, 1107.92]","[1109.71, 1109.71, 1108.82, 1108.82, 1108.82, 1107.92]",1108.97,0.67,"[699, 698, 699, 698, 698, 698, 698]","[699, 698, 699, 698, 698, 698, 698]","[699, 698, 699, 698, 698, 698, 698]",698.29,0.49,"[676.72, 676.72, 675.75, 675.75, 675.75, 675.75]","[676.72, 676.72, 675.75, 675.75, 675.75, 675.75]","[676.72, 676.72, 675.75, 675.75, 675.75, 675.75]",676.07,0.5,"[875, 875, 875, 874, 874, 873, 873]","[875, 875, 875, 874, 874, 873, 873]","[875, 875, 875, 874, 874, 873, 873]",874.14,0.9,"[755.64, 755.64, 754.77, 754.77, 753.91, 753.91]","[755.64, 755.64, 754.77, 754.77, 753.91, 753.91]","[755.64, 755.64, 754.77, 754.77, 753.91, 753.91]",754.77,0.77
4.0,1.0,2023-03-28 04:17:42.080614,19.32,33.0,64.0,700.0,150.0,"[231, 232, 232, 233, 233, 233]","[231, 232, 232, 233, 233, 233]","[231, 232, 232, 233, 233, 233]",232.33,0.82,"[266.6, 267.76, 267.76, 268.91, 268.91, 268.91]","[266.6, 267.76, 267.76, 268.91, 268.91, 268.91]","[266.6, 267.76, 267.76, 268.91, 268.91, 268.91]",268.14,0.94,"[428, 426, 424, 422, 420, 419]","[428, 426, 424, 422, 420, 419]","[428, 426, 424, 422, 420, 419]",423.17,3.49,"[539.05, 536.53, 534.01, 531.49, 528.97, 527.71]","[539.05, 536.53, 534.01, 531.49, 528.97, 527.71]","[539.05, 536.53, 534.01, 531.49, 528.97, 527.71]",532.96,4.39,"[747, 744, 741, 740, 736, 735]","[747, 744, 741, 740, 736, 735]","[747, 744, 741, 740, 736, 735]",740.5,4.59,"[754.52, 751.49, 748.46, 747.45, 743.41, 742.4]","[754.52, 751.49, 748.46, 747.45, 743.41, 742.4]","[754.52, 751.49, 748.46, 747.45, 743.41, 742.4]",747.95,4.64,"[1167, 1161, 1156, 1152, 1148, 1145]","[1167, 1161, 1156, 1152, 1148, 1145]","[1167, 1161, 1156, 1152, 1148, 1145]",1154.83,8.23,"[1060.17, 1054.72, 1050.18, 1046.54, 1042.91, 1040.18]","[1060.17, 1054.72, 1050.18, 1046.54, 1042.91, 1040.18]","[1060.17, 1054.72, 1050.18, 1046.54, 1042.91, 1040.18]",1049.12,7.48,"[830, 826, 822, 821, 817, 815]","[830, 826, 822, 821, 817, 815]","[830, 826, 822, 821, 817, 815]",821.83,5.56,"[776.02, 772.28, 768.54, 767.6, 763.86, 761.99]","[776.02, 772.28, 768.54, 767.6, 763.86, 761.99]","[776.02, 772.28, 768.54, 767.6, 763.86, 761.99]",768.38,5.21,"[741, 736, 733, 730, 726, 723]","[741, 736, 733, 730, 726, 723]","[741, 736, 733, 730, 726, 723]",731.5,6.6,"[627.07, 622.84, 620.3, 617.76, 614.38, 611.84]","[627.07, 622.84, 620.3, 617.76, 614.38, 611.84]","[627.07, 622.84, 620.3, 617.76, 614.38, 611.84]",619.03,5.58
0.0,2.0,2023-03-28 04:18:02.510646,19.95,37.0,64.0,700.0,150.0,"[306, 307, 307, 307, 307, 307]","[306, 307, 307, 307, 307, 307]","[306, 307, 307, 307, 307, 307]",306.83,0.41,"[310.76, 311.78, 311.78, 311.78, 311.78, 311.78]","[310.76, 311.78, 311.78, 311.78, 311.78, 311.78]","[310.76, 311.78, 311.78, 311.78, 311.78, 311.78]",311.61,0.42,"[501, 496, 494, 491, 488, 487]","[501, 496, 494, 491, 488, 487]","[501, 496, 494, 491, 488, 487]",492.83,5.27,"[564.28, 558.65, 556.4, 553.02, 549.64, 548.52]","[564.28, 558.65, 556.4, 553.02, 549.64, 548.52]","[564.28, 558.65, 556.4, 553.02, 549.64, 548.52]",555.08,5.93,"[359, 356, 354, 353, 351, 350]","[359, 356, 354, 353, 351, 350]","[359, 356, 354, 353, 351, 350]",353.83,3.31,"[363.12, 360.08, 358.06, 357.05, 355.03, 354.01]","[363.12, 360.08, 358.06, 357.05, 355.03, 354.01]","[363.12, 360.08, 358.06, 357.05, 355.03, 354.01]",357.89,3.35,"[1149, 1142, 1137, 1133, 1130, 1126]","[1149, 1142, 1137, 1133, 1130, 1126]","[1149, 1142, 1137, 1133, 1130, 1126]",1136.17,8.38,"[985.74, 979.74, 975.45, 972.01, 969.44, 966.01]","[985.74, 979.74, 975.45, 972.01, 969.44, 966.01]","[985.74, 979.74, 975.45, 972.01, 969.44, 966.01]",974.73,7.19,"[527, 523, 521, 519, 516, 514]","[527, 523, 521, 519, 516, 514]","[527, 523, 521, 519, 516, 514]",520.0,4.73,"[479.1, 475.46, 473.65, 471.83, 469.1, 467.28]","[479.1, 475.46, 473.65, 471.83, 469.1, 467.28]","[479.1, 475.46, 473.65, 471.83, 469.1, 467.28]",472.74,4.3,"[1082, 1073, 1067, 1062, 1055, 1051]","[1082, 1073, 1067, 1062, 1055, 1051]","[1082, 1073, 1067, 1062, 1055, 1051]",1065.0,11.51,"[861.97, 854.8, 850.02, 846.03, 840.46, 837.27]","[861.97, 854.8, 850.02, 846.03, 840.46, 837.27]","[861.97, 854.8, 850.02, 846.03, 840.46, 837.27]",848.42,9.17
1.0,2.0,2023-03-28 04:18:23.038114,20.23,38.0,64.0,700.0,150.0,"[266, 266, 267, 267, 266, 266]","[266, 266, 267, 267, 266, 266]","[266, 266, 267, 267, 266, 266]",266.33,0.52,"[285.83, 285.83, 286.9, 286.9, 285.83, 285.83]","[285.83, 285.83, 286.9, 286.9, 285.83, 285.83]","[285.83, 285.83, 286.9, 286.9, 285.83, 285.83]",286.19,0.55,"[451, 448, 446, 444, 443, 442]","[451, 448, 446, 444, 443, 442]","[451, 448, 446, 444, 443, 442]",445.67,3.39,"[578.64, 574.79, 572.23, 569.66, 568.38, 567.09]","[578.64, 574.79, 572.23, 569.66, 568.38, 567.09]","[578.64, 574.79, 572.23, 569.66, 568.38, 567.09]",571.8,4.34,"[696, 691, 689, 687, 684, 682]","[696, 691, 689, 687, 684, 682]","[696, 691, 689, 687, 684, 682]",688.17,5.04,"[727.44, 722.21, 720.12, 718.03, 714.9, 712.81]","[727.44, 722.21, 720.12, 718.03, 714.9, 712.81]","[727.44, 722.21, 720.12, 718.03, 714.9, 712.81]",719.25,5.26,"[1296, 1289, 1283, 1280, 1276, 1273]","[1296, 1289, 1283, 1280, 1276, 1273]","[1296, 1289, 1283, 1280, 1276, 1273]",1282.83,8.52,"[1171.55, 1165.22, 1159.8, 1157.09, 1153.47, 1150.76]","[1171.55, 1165.22, 1159.8, 1157.09, 1153.47, 1150.76]","[1171.55, 1165.22, 1159.8, 1157.09, 1153.47, 1150.76]",1159.65,7.7,"[805, 800, 796, 794, 790, 788]","[805, 800, 796, 794, 790, 788]","[805, 800, 796, 794, 790, 788]",795.5,6.32,"[784.36, 779.48, 775.59, 773.64, 769.74, 767.79]","[784.36, 779.48, 775.59, 773.64, 769.74, 767.79]","[784.36, 779.48, 775.59, 773.64, 769.74, 767.79]",775.1,6.16,"[856, 849, 846, 843, 839, 837]","[856, 849, 846, 843, 839, 837]","[856, 849, 846, 843, 839, 837]",845.0,6.96,"[770.54, 764.24, 761.54, 758.84, 755.24, 753.44]","[770.54, 764.24, 761.54, 758.84, 755.24, 753.44]","[770.54, 764.24, 761.54, 758.84, 755.24, 753.44]",760.64,6.26
2.0,2.0,2023-03-28 04:18:43.636464,20.32,39.0,64.0,700.0,150.0,"[299, 299, 299, 299, 299, 299]","[299, 299, 299, 299, 299, 299]","[299, 299, 299, 299, 299, 299]",299.0,0.0,"[293.24, 293.24, 293.24, 293.24, 293.24, 293.24]","[293.24, 293.24, 293.24, 293.24, 293.24, 293.24]","[293.24, 293.24, 293.24, 293.24, 293.24, 293.24]",293.24,0.0,"[561, 556, 553, 551, 548, 546]","[561, 556, 553, 551, 548, 546]","[561, 556, 553, 551, 548, 546]",552.5,5.47,"[660.4, 654.51, 650.98, 648.63, 645.1, 642.74]","[660.4, 654.51, 650.98, 648.63, 645.1, 642.74]","[660.4, 654.51, 650.98, 648.63, 645.1, 642.74]",650.39,6.44,"[598, 593, 591, 590, 587, 585]","[598, 593, 591, 590, 587, 585]","[598, 593, 591, 590, 587, 585]",590.67,4.59,"[606.13, 601.06, 599.03, 598.02, 594.98, 592.95]","[606.13, 601.06, 599.03, 598.02, 594.98, 592.95]","[606.13, 601.06, 599.03, 598.02, 594.98, 592.95]",598.7,4.65,"[1344, 1336, 1331, 1327, 1323, 1319]","[1344, 1336, 1331, 1327, 1323, 1319]","[1344, 1336, 1331, 1327, 1323, 1319]",1330.0,9.08,"[1171.34, 1164.37, 1160.01, 1156.53, 1153.04, 1149.56]","[1171.34, 1164.37, 1160.01, 1156.53, 1153.04, 1149.56]","[1171.34, 1164.37, 1160.01, 1156.53, 1153.04, 1149.56]",1159.14,7.91,"[694, 689, 685, 683, 681, 678]","[694, 689, 685, 683, 681, 678]","[694, 689, 685, 683, 681, 678]",685.0,5.76,"[665.21, 660.42, 656.58, 654.66, 652.75, 649.87]","[665.21, 660.42, 656.58, 654.66, 652.75, 649.87]","[665.21, 660.42, 656.58, 654.66, 652.75, 649.87]",656.58,5.52,"[1074, 1065, 1059, 1055, 1049, 1047]","[1074, 1065, 1059, 1055, 1049, 1047]","[1074, 1065, 1059, 1055, 1049, 1047]",1058.17,10.17,"[876.01, 868.67, 863.77, 860.51, 855.62, 853.99]","[876.01, 868.67, 863.77, 860.51, 855.62, 853.99]","[876.01, 868.67, 863.77, 860.51, 855.62, 853.99]",863.09,8.29
3.0,2.0,2023-03-28 04:19:04.969609,20.33,38.0,64.0,700.0,150.0,"[249, 248, 248, 248, 247, 247]","[249, 248, 248, 248, 247, 247]","[249, 248, 248, 248, 247, 247]",247.83,0.75,"[265.83, 264.76, 264.76, 264.76, 263.69, 263.69]","[265.83, 264.76, 264.76, 264.76, 263.69, 263.69]","[265.83, 264.76, 264.76, 264.76, 263.69, 263.69]",264.58,0.81,"[453, 448, 446, 444, 442, 441]","[453, 448, 446, 444, 442, 441]","[453, 448, 446, 444, 442, 441]",445.67,4.41,"[570.24, 563.95, 561.43, 558.92, 556.4, 555.14]","[570.24, 563.95, 561.43, 558.92, 556.4, 555.14]","[570.24, 563.95, 561.43, 558.92, 556.4, 555.14]",561.01,5.55,"[658, 651, 649, 646, 644, 643]","[658, 651, 649, 646, 644, 643]","[658, 651, 649, 646, 644, 643]",648.5,5.54,"[683.81, 676.53, 674.46, 671.34, 669.26, 668.22]","[683.81, 676.53, 674.46, 671.34, 669.26, 668.22]","[683.81, 676.53, 674.46, 671.34, 669.26, 668.22]",673.94,5.76,"[1296, 1285, 1280, 1275, 1269, 1266]","[1296, 1285, 1280, 1275, 1269, 1266]","[1296, 1285, 1280, 1275, 1269, 1266]",1278.5,11.04,"[1159.83, 1149.98, 1145.51, 1141.03, 1135.66, 1132.98]","[1159.83, 1149.98, 1145.51, 1141.03, 1135.66, 1132.98]","[1159.83, 1149.98, 1145.51, 1141.03, 1135.66, 1132.98]",1144.16,9.88,"[733, 726, 723, 720, 717, 715]","[733, 726, 723, 720, 717, 715]","[733, 726, 723, 720, 717, 715]",722.33,6.56,"[709.64, 702.86, 699.96, 697.05, 694.15, 692.21]","[709.64, 702.86, 699.96, 697.05, 694.15, 692.21]","[709.64, 702.86, 699.96, 697.05, 694.15, 692.21]",699.31,6.35,"[918, 908, 904, 900, 895, 891]","[918, 908, 904, 900, 895, 891]","[918, 908, 904, 900, 895, 891]",902.67,9.67,"[792.77, 784.14, 780.68, 777.23, 772.91, 769.45]","[792.77, 784.14, 780.68, 777.23, 772.91, 769.45]","[792.77, 784.14, 780.68, 777.23, 772.91, 769.45]",779.53,8.35
4.0,2.0,2023-03-28 04:19:27.489647,21.64,34.0,64.0,700.0,150.0,"[231, 232, 232, 232, 232, 232, 232]","[231, 232, 232, 232, 232, 232, 232]","[231, 232, 232, 232, 232, 232, 232]",231.86,0.38,"[266.6, 267.76, 267.76, 267.76, 267.76, 267.76, 267.76]","[266.6, 267.76, 267.76, 267.76, 267.76, 267.76, 267.76]","[266.6, 267.76, 267.76, 267.76, 267.76, 267.76, 267.76]",267.59,0.44,"[425, 423, 421, 419, 417, 416, 414]","[425, 423, 421, 419, 417, 416, 414]","[425, 423, 421, 419, 417, 416, 414]",419.29,3.95,"[535.27, 532.75, 530.23, 527.71, 525.19, 523.93, 521.41]","[535.27, 532.75, 530.23, 527.71, 525.19, 523.93, 521.41]","[535.27, 532.75, 530.23, 527.71, 525.19, 523.93, 521.41]",528.07,4.97,"[744, 741, 738, 736, 733, 731, 728]","[744, 741, 738, 736, 733, 731, 728]","[744, 741, 738, 736, 733, 731, 728]",735.86,5.64,"[748.46, 745.43, 743.41, 740.38, 738.36, 735.33]","[748.46, 745.43, 743.41, 740.38, 738.36, 735.33]","[748.46, 745.43, 743.41, 740.38, 738.36, 735.33]",741.89,4.81,"[1160, 1157, 1151, 1148, 1143, 1140, 1138]","[1160, 1157, 1151, 1148, 1143, 1140, 1138]","[1160, 1157, 1151, 1148, 1143, 1140, 1138]",1148.14,8.4,"[1051.08, 1045.63, 1042.91, 1038.37, 1035.64, 1033.82]","[1051.08, 1045.63, 1042.91, 1038.37, 1035.64, 1033.82]","[1051.08, 1045.63, 1042.91, 1038.37, 1035.64, 1033.82]",1041.24,6.54,"[827, 823, 819, 817, 813, 812, 808]","[827, 823, 819, 817, 813, 812, 808]","[827, 823, 819, 817, 813, 812, 808]",817.0,6.61,"[769.47, 765.73, 763.86, 760.12, 759.19, 755.45]","[769.47, 765.73, 763.86, 760.12, 759.19, 755.45]","[769.47, 765.73, 763.86, 760.12, 759.19, 755.45]",762.3,5.04,"[735, 732, 728, 725, 720, 718, 715]","[735, 732, 728, 725, 720, 718, 715]","[735, 732, 728, 725, 720, 718, 715]",724.71,7.43,"[619.45, 616.07, 613.53, 609.3, 607.61, 605.07]","[619.45, 616.07, 613.53, 609.3, 607.61, 605.07]","[619.45, 616.07, 613.53, 609.3, 607.61, 605.07]",611.84,5.46
